year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,06,0,0,18,18201,0,225204
2021,06,0,0,18,18201,1,48633
2021,06,0,0,18,18201,2,4286
2021,06,0,0,18,18201,3,6578
2021,06,0,1,18,18201,0,245515
2021,06,0,1,18,18201,1,17643
2021,06,0,1,18,18201,2,2539
2021,06,0,1,18,18201,3,5656
2021,06,0,2,18,18201,0,237384
2021,06,0,2,18,18201,1,29970
2021,06,0,2,18,18201,2,3308
2021,06,0,2,18,18201,3,6023
2021,06,1,0,18,18201,0,212060
2021,06,1,0,18,18201,1,77525
2021,06,1,0,18,18201,2,5813
2021,06,1,0,18,18201,3,5129
2021,06,1,1,18,18201,0,249061
2021,06,1,1,18,18201,1,19488
2021,06,1,1,18,18201,2,2360
2021,06,1,1,18,18201,3,4815
2021,06,1,2,18,18201,0,232394
2021,06,1,2,18,18201,1,47116
2021,06,1,2,18,18201,2,3899
2021,06,1,2,18,18201,3,4975
2021,06,2,0,18,18201,0,215565
2021,06,2,0,18,18201,1,69821
2021,06,2,0,18,18201,2,5405
2021,06,2,0,18,18201,3,5515
2021,06,2,1,18,18201,0,248115
2021,06,2,1,18,18201,1,18996
2021,06,2,1,18,18201,2,2407
2021,06,2,1,18,18201,3,5039
2021,06,2,2,18,18201,0,233725
2021,06,2,2,18,18201,1,42544
2021,06,2,2,18,18201,2,3742
2021,06,2,2,18,18201,3,5255
2021,06,0,0,18,18202,0,52688
2021,06,0,0,18,18202,1,6393
2021,06,0,0,18,18202,2,716
2021,06,0,0,18,18202,3,6061
2021,06,0,1,18,18202,0,59123
2021,06,0,1,18,18202,1,2873
2021,06,0,1,18,18202,2,615
2021,06,0,1,18,18202,3,3440
2021,06,0,2,18,18202,0,56781
2021,06,0,2,18,18202,1,4383
2021,06,0,2,18,18202,2,670
2021,06,0,2,18,18202,3,4426
2021,06,1,0,18,18202,0,55968
2021,06,1,0,18,18202,1,9215
2021,06,1,0,18,18202,2,1061
2021,06,1,0,18,18202,3,3699
2021,06,1,1,18,18202,0,61827
2021,06,1,1,18,18202,1,2814
2021,06,1,1,18,18202,2,622
2021,06,1,1,18,18202,3,2834
2021,06,1,2,18,18202,0,59190
2021,06,1,2,18,18202,1,5705
2021,06,1,2,18,18202,2,813
2021,06,1,2,18,18202,3,3340
2021,06,2,0,18,18202,0,55093
2021,06,2,0,18,18202,1,8463
2021,06,2,0,18,18202,2,969
2021,06,2,0,18,18202,3,4329
2021,06,2,1,18,18202,0,61106
2021,06,2,1,18,18202,1,2829
2021,06,2,1,18,18202,2,620
2021,06,2,1,18,18202,3,2995
2021,06,2,2,18,18202,0,58547
2021,06,2,2,18,18202,1,5353
2021,06,2,2,18,18202,2,775
2021,06,2,2,18,18202,3,3629
2021,06,0,0,18,18204,0,23360
2021,06,0,0,18,18204,1,3473
2021,06,0,0,18,18204,2,403
2021,06,0,0,18,18204,3,3097
2021,06,0,1,18,18204,0,26157
2021,06,0,1,18,18204,1,1390
2021,06,0,1,18,18204,2,418
2021,06,0,1,18,18204,3,1714
2021,06,0,2,18,18204,0,25101
2021,06,0,2,18,18204,1,2373
2021,06,0,2,18,18204,2,364
2021,06,0,2,18,18204,3,2132
2021,06,1,0,18,18204,0,22367
2021,06,1,0,18,18204,1,4017
2021,06,1,0,18,18204,2,405
2021,06,1,0,18,18204,3,1608
2021,06,1,1,18,18204,0,26486
2021,06,1,1,18,18204,1,1345
2021,06,1,1,18,18204,2,265
2021,06,1,1,18,18204,3,883
2021,06,1,2,18,18204,0,24700
2021,06,1,2,18,18204,1,2610
2021,06,1,2,18,18204,2,312
2021,06,1,2,18,18204,3,1134
2021,06,2,0,18,18204,0,22632
2021,06,2,0,18,18204,1,3872
2021,06,2,0,18,18204,2,405
2021,06,2,0,18,18204,3,2005
2021,06,2,1,18,18204,0,26398
2021,06,2,1,18,18204,1,1357
2021,06,2,1,18,18204,2,306
2021,06,2,1,18,18204,3,1105
2021,06,2,2,18,18204,0,24807
2021,06,2,2,18,18204,1,2547
2021,06,2,2,18,18204,2,326
2021,06,2,2,18,18204,3,1400
2021,06,0,0,18,18205,0,25679
2021,06,0,0,18,18205,1,5753
2021,06,0,0,18,18205,2,460
2021,06,0,0,18,18205,3,1621
2021,06,0,1,18,18205,0,29944
2021,06,0,1,18,18205,1,1541
2021,06,0,1,18,18205,2,160
2021,06,0,1,18,18205,3,886
2021,06,0,2,18,18205,0,28485
2021,06,0,2,18,18205,1,2971
2021,06,0,2,18,18205,2,260
2021,06,0,2,18,18205,3,1148
2021,06,1,0,18,18205,0,23010
2021,06,1,0,18,18205,1,5352
2021,06,1,0,18,18205,2,360
2021,06,1,0,18,18205,3,1303
2021,06,1,1,18,18205,0,30286
2021,06,1,1,18,18205,1,998
2021,06,1,1,18,18205,2,78
2021,06,1,1,18,18205,3,515
2021,06,1,2,18,18205,0,26979
2021,06,1,2,18,18205,1,2676
2021,06,1,2,18,18205,2,162
2021,06,1,2,18,18205,3,833
2021,06,2,0,18,18205,0,23722
2021,06,2,0,18,18205,1,5459
2021,06,2,0,18,18205,2,387
2021,06,2,0,18,18205,3,1388
2021,06,2,1,18,18205,0,30194
2021,06,2,1,18,18205,1,1143
2021,06,2,1,18,18205,2,100
2021,06,2,1,18,18205,3,614
