mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53357797,18,18201,2021,11,0,0,40
53357797,18,18201,2021,11,0,1,40
53357797,18,18201,2021,11,0,2,46
53357797,18,18201,2021,11,1,0,47
53357797,18,18201,2021,11,1,1,33
53357797,18,18201,2021,11,1,2,41
53357797,18,18201,2021,11,2,0,45
53357797,18,18201,2021,11,2,1,35
53357797,18,18201,2021,11,2,2,43
53367176,18,18201,2021,11,0,0,357
53367176,18,18201,2021,11,0,1,396
53367176,18,18201,2021,11,0,2,356
53367176,18,18201,2021,11,1,0,104
53367176,18,18201,2021,11,1,1,348
53367176,18,18201,2021,11,1,2,223
53367176,18,18201,2021,11,2,0,188
53367176,18,18201,2021,11,2,1,364
53367176,18,18201,2021,11,2,2,267
53367186,18,18201,2021,11,0,0,432
53367186,18,18201,2021,11,0,1,314
53367186,18,18201,2021,11,0,2,384
53367186,18,18201,2021,11,1,0,215
53367186,18,18201,2021,11,1,1,386
53367186,18,18201,2021,11,1,2,340
53367186,18,18201,2021,11,2,0,287
53367186,18,18201,2021,11,2,1,362
53367186,18,18201,2021,11,2,2,354
53367187,18,18201,2021,11,0,0,42
53367187,18,18201,2021,11,0,1,26
53367187,18,18201,2021,11,0,2,21
53367187,18,18201,2021,11,2,0,14
53367189,18,18201,2021,11,0,0,112
53367189,18,18201,2021,11,0,1,253
53367189,18,18201,2021,11,0,2,182
53367189,18,18201,2021,11,1,0,154
53367189,18,18201,2021,11,1,1,260
53367189,18,18201,2021,11,1,2,192
53367189,18,18201,2021,11,2,0,140
53367189,18,18201,2021,11,2,1,258
53367189,18,18201,2021,11,2,2,189
53367191,18,18201,2021,11,0,0,318
53367191,18,18201,2021,11,0,1,542
53367191,18,18201,2021,11,0,2,426
53367191,18,18201,2021,11,1,0,285
53367191,18,18201,2021,11,1,1,499
53367191,18,18201,2021,11,1,2,387
53367191,18,18201,2021,11,2,0,296
53367191,18,18201,2021,11,2,1,514
53367191,18,18201,2021,11,2,2,400
53367192,18,18201,2021,11,0,0,125
53367192,18,18201,2021,11,0,2,77
53367192,18,18201,2021,11,1,0,138
53367192,18,18201,2021,11,1,1,34
53367192,18,18201,2021,11,1,2,99
53367192,18,18201,2021,11,2,0,133
53367192,18,18201,2021,11,2,1,25
53367192,18,18201,2021,11,2,2,92
53367194,18,18201,2021,11,0,0,67
53367194,18,18201,2021,11,0,2,26
53367194,18,18201,2021,11,1,0,18
53367194,18,18201,2021,11,1,2,12
53367194,18,18201,2021,11,2,0,34
