name,url
観光オープンデータ簡易分析,https://code4fukui.github.io/fukui-kanko-stat/
観光オープンデータトレンド分析,https://code4fukui.github.io/fukui-kanko-stat/trend.html
福井県観光AIアドバイス,https://code4fukui.github.io/fukui-kanko-advice/
あわら温泉エリア 宿泊予約状況,https://code4fukui.github.io/fukui-kanko-reservation/
恐竜博物館ダッシュボード,https://code4fukui.github.io/dinosaur-opendata/
回答数推移(日別),https://code4fukui.github.io/fukui-kanko-stat/daily.html
コメントマップ,https://code4fukui.github.io/sightseeingApp/
北陸観光満足度ランキング,https://code4fukui.github.io/fukui-kanko-stat/ranking-hokuriku.html
北陸観光アンケート数ツリーマップ,https://code4fukui.github.io/fukui-kanko-stat/treemap-hokuriku.html
エリア満足度ランキング,https://code4fukui.github.io/fukui-kanko-stat/ranking.html
コメント新着順,https://code4fukui.github.io/fukui-kanko-stat/comment.html
福井県に求めるもの新着順と来訪意向,https://code4fukui.github.io/fukui-kanko-stat/comment-wish.html
コメント検索,https://code4fukui.github.io/fukui-kanko-stat/comment-search.html
リピート意向率ランキング,https://code4fukui.github.io/fukui-kanko-stat/ranking-wish.html
ワードクラウド,https://code4fukui.github.io/fukui-kanko-wordcloud/
福井県気象情報,https://code4fukui.github.io/fukui-kanko-stat/weather.html
滞在人口1kmメッシュデータ,https://code4fukui.github.io/fukui-kanko-stat/population.html
滞在人口From-Toデータ,https://code4fukui.github.io/fukui-kanko-stat/fromto-population.html
宿泊施設グラフ,https://eiichimiyagawa.github.io/accommodations-graph/
RENEW Pay決済データ,https://code4fukui.github.io/fukui-kanko-stat/renew-pay.html
RENEW Pay決済連携データ,https://code4fukui.github.io/fukui-kanko-stat/renew-pay-log.html
福井県好感度ランキング,https://code4fukui.github.io/fukui-kanko-stat/favourable-impression.html
福井県観光滞在時間,https://code4fukui.github.io/fukui-kanko-stat/length-of-stay.html
Instagramハッシュタグ相関調査,https://code4fukui.github.io/fukui-kanko-stat/instagram-hash-tag.html
福井県の観光による住民幸福度に関するアンケート結果,https://code4fukui.github.io/fukui-kanko-civic-voice/
