年月日,曜日,降雪量合計(cm),降雪量合計(cm)-現象なし情報,降雪量合計(cm)-品質情報,降雪量合計(cm)-均質番号,天気概況(昼：06時～18時),天気概況(昼：06時～18時)-品質情報,天気概況(昼：06時～18時)-均質番号,降水量の合計(mm),降水量の合計(mm)-現象なし情報,降水量の合計(mm)-品質情報,降水量の合計(mm)-均質番号,平均気温(℃),平均気温(℃)-品質情報,平均気温(℃)-均質番号,最高気温(℃),最高気温(℃)-品質情報,最高気温(℃)-時分,最高気温(℃)-時分-品質情報,最高気温(℃)-均質番号,最低気温(℃),最低気温(℃)-品質情報,最低気温(℃)-時分,最低気温(℃)-時分-品質情報,最低気温(℃)-均質番号,日照時間(時間),日照時間(時間)-現象なし情報,日照時間(時間)-品質情報,日照時間(時間)-均質番号,最深積雪(cm),最深積雪(cm)-現象なし情報,最深積雪(cm)-品質情報,最深積雪(cm)-時分,最深積雪(cm)-時分-現象なし情報,最深積雪(cm)-時分-品質情報,最深積雪(cm)-均質番号,平均風速(m/s),平均風速(m/s)-品質情報,平均風速(m/s)-均質番号,平均蒸気圧(hPa),平均蒸気圧(hPa)-品質情報,平均蒸気圧(hPa)-均質番号,平均湿度(％),平均湿度(％)-品質情報,平均湿度(％)-均質番号,最小相対湿度(％),最小相対湿度(％)-品質情報,最小相対湿度(％)-時分,最小相対湿度(％)-時分-品質情報,最小相対湿度(％)-均質番号,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)-品質情報,天気概況(夜：18時～翌日06時)-均質番号,最大風速(m/s),最大風速(m/s)-品質情報,最大風速(m/s)-時分,最大風速(m/s)-時分-品質情報,最大風速(m/s)-風向,最大風速(m/s)-風向-品質情報,最大風速(m/s)-均質番号,合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)-品質情報,合計全天日射量(MJ/㎡)-均質番号,最大瞬間風速(m/s),最大瞬間風速(m/s)-品質情報,最大瞬間風速(m/s)-時分,最大瞬間風速(m/s)-時分-品質情報,最大瞬間風速(m/s)-風向,最大瞬間風速(m/s)-風向-品質情報,最大瞬間風速(m/s)-均質番号,最多風向(16方位),最多風向(16方位)-品質情報,最多風向(16方位)-均質番号,平均現地気圧(hPa),平均現地気圧(hPa)-品質情報,平均現地気圧(hPa)-均質番号,平均海面気圧(hPa),平均海面気圧(hPa)-品質情報,平均海面気圧(hPa)-均質番号,最低海面気圧(hPa),最低海面気圧(hPa)-現象なし情報,最低海面気圧(hPa)-品質情報,最低海面気圧(hPa)-時分,最低海面気圧(hPa)-時分-現象なし情報,最低海面気圧(hPa)-時分-品質情報,最低海面気圧(hPa)-均質番号,平均雲量(10分比),平均雲量(10分比)-品質情報,平均雲量(10分比)-均質番号
2021/1/1,金,2,0,8,1,みぞれ時々曇一時雪、雷を伴う,8,1,20.0,0,8,1,2.0,8,1,5.1,8,2021/1/1 11:24,8,1,0.5,8,2021/1/2 0:00,8,1,1.0,0,8,1,16,0,8,,,,1,2.4,8,1,6.2,8,1,89,8,1,60,8,2021/1/1 11:46,8,1,みぞれ時々雪、雷を伴う,8,1,5.6,8,2021/1/1 14:18,8,北西,8,1,4.92,8,1,11.9,8,2021/1/1 14:12,8,西北西,8,1,南南西,8,1,1017.4,8,1,1019.6,8,1,1016.1,0,8,2021/1/1 00:25,0,8,1,,0,1
2021/1/2,土,7,0,8,1,みぞれ時々曇一時雪、雷を伴う,8,1,28.5,0,8,1,1.5,8,1,4.0,8,2021/1/2 11:43,8,1,0.3,8,2021/1/2 05:48,8,1,0.4,0,8,1,19,0,8,,,,1,2.3,8,1,6.5,8,1,96,8,1,86,8,2021/1/2 11:48,8,1,みぞれ時々曇一時雪、霧を伴う,8,1,5.3,8,2021/1/2 02:22,8,南南東,8,1,3.69,8,1,8.8,8,2021/1/2 15:52,8,北西,8,1,南東,8,1,1018.7,8,1,1020.9,8,1,1019.4,0,8,2021/1/2 05:00,0,8,1,,0,1
2021/1/3,日,2,0,8,1,みぞれ時々雨一時曇,8,1,12.5,0,8,1,1.9,8,1,4.6,8,2021/1/3 10:25,8,1,0.1,8,2021/1/3 03:56,8,1,1.2,0,8,1,16,0,8,,,,1,1.8,8,1,6.7,8,1,96,8,1,83,8,2021/1/3 10:27,8,1,みぞれ時々曇,8,1,4.3,8,2021/1/3 08:50,8,南南東,8,1,4.68,8,1,6.4,8,2021/1/3 08:42,8,南,8,1,南,8,1,1022.8,8,1,1025.0,8,1,1022.5,0,8,2021/1/3 03:59,0,8,1,,0,1
2021/1/4,月,0,1,8,1,曇時々みぞれ後雨,8,1,5.5,0,8,1,2.7,8,1,5.3,8,2021/1/4 11:33,8,1,1.3,8,2021/1/4 22:59,8,1,2.0,0,8,1,14,0,8,,,,1,2.0,8,1,7.0,8,1,95,8,1,84,8,2021/1/4 11:50,8,1,みぞれ時々曇一時雨,8,1,3.9,8,2021/1/4 13:18,8,南東,8,1,5.81,8,1,6.1,8,2021/1/4 12:32,8,南,8,1,南,8,1,1025.6,8,1,1027.8,8,1,1026.4,0,8,2021/1/4 23:46,0,8,1,,0,1
2021/1/5,火,1,0,8,1,曇時々みぞれ後雨、雷を伴う,8,1,10.0,0,8,1,3.4,8,1,6.4,8,2021/1/5 12:55,8,1,1.6,8,2021/1/5 01:26,8,1,1.4,0,8,1,11,0,8,,,,1,2.0,8,1,7.5,8,1,96,8,1,81,8,2021/1/5 12:55,8,1,雨時々曇、みぞれを伴う,8,1,4.9,8,2021/1/5 09:08,8,南南西,8,1,4.68,8,1,6.9,8,2021/1/5 09:02,8,南南西,8,1,南南西,8,1,1020.2,8,1,1022.4,8,1,1018.7,0,8,2021/1/5 23:58,0,8,1,,0,1
2021/1/6,水,0,1,8,1,みぞれ時々曇一時晴後雨,8,1,9.0,0,8,1,3.7,8,1,5.2,8,2021/1/6 16:30,8,1,1.7,8,2021/1/6 07:05,8,1,1.7,0,8,1,8,0,8,,,,1,2.8,8,1,7.0,8,1,88,8,1,69,8,2021/1/6 23:09,8,1,雨後曇時々雪一時みぞれ,8,1,7.2,8,2021/1/6 16:51,8,南西,8,1,4.50,8,1,12.0,8,2021/1/6 18:40,8,南西,8,1,南,8,1,1014.0,8,1,1016.2,8,1,1013.4,0,8,2021/1/6 13:40,0,8,1,,0,1
2021/1/7,木,7,0,8,1,曇一時みぞれ後雪,8,1,8.5,0,8,1,2.0,8,1,5.8,8,2021/1/7 10:55,8,1,-1.2,8,2021/1/7 23:09,8,1,0.4,0,8,1,10,0,8,,,,1,5.2,8,1,4.9,8,1,70,8,1,51,8,2021/1/7 08:57,8,1,雪時々曇,8,1,12.5,8,2021/1/7 13:55,8,西南西,8,1,2.68,8,1,24.6,8,2021/1/7 13:12,8,西南西,8,1,西南西,8,1,1009.2,8,1,1011.4,8,1,1007.1,0,8,2021/1/7 11:13,0,8,1,,0,1
2021/1/8,金,45,0,8,1,大雪、雷を伴う,8,1,48.5,0,8,1,-1.1,8,1,0.1,8,2021/1/8 15:37,8,1,-1.9,8,2021/1/8 10:24,8,1,0.0,0,8,1,55,0,8,,,,1,4.3,8,1,5.3,8,1,93,8,1,78,8,2021/1/8 00:04,8,1,大雪、雷を伴う,8,1,7.6,8,2021/1/8 22:31,8,南南西,8,1,2.06,8,1,13.1,8,2021/1/8 20:21,8,南南西,8,1,南西,8,1,1010.5,8,1,1012.7,8,1,1011.5,0,8,2021/1/8 14:49,0,8,1,,0,1
2021/1/9,土,54,0,8,1,大雪、雷を伴う,8,1,81.0,0,8,1,-1.4,8,1,0.0,8,2021/1/9 22:44,8,1,-3.2,8,2021/1/9 10:38,8,1,0.0,0,8,1,107,0,8,,,,1,4.5,8,1,5.3,8,1,95,8,1,83,8,2021/1/9 20:16,8,1,雪時々曇、雷を伴う,8,1,7.6,8,2021/1/9 20:25,8,南西,8,1,1.18,8,1,13.7,8,2021/1/9 19:18,8,南西,8,1,南西,8,1,1011.5,8,1,1013.7,8,1,1012.6,0,8,2021/1/9 14:01,0,8,1,,0,1
2021/1/10,日,9,0,8,1,雪時々曇、雷を伴う,8,1,29.0,0,8,1,0.3,8,1,2.3,8,2021/1/10 21:18,8,1,-1.1,8,2021/1/10 06:26,8,1,0.6,0,8,1,106,0,8,,,,1,2.4,8,1,6.0,8,1,96,8,1,84,8,2021/1/10 22:13,8,1,みぞれ時々雪一時曇、雷を伴う,8,1,6.8,8,2021/1/10 21:46,8,南西,8,1,5.89,8,1,11.6,8,2021/1/10 21:38,8,南西,8,1,南,8,1,1017.5,8,1,1019.7,8,1,1014.6,0,8,2021/1/10 00:07,0,8,1,,0,1
2021/1/11,月,0,1,8,1,曇一時みぞれ,8,1,6.5,0,8,1,1.6,8,1,4.3,8,2021/1/11 14:04,8,1,0.5,8,2021/1/11 07:24,8,1,5.2,0,8,1,102,0,8,,,,1,1.9,8,1,6.2,8,1,91,8,1,71,8,2021/1/11 14:04,8,1,曇後一時雪、みぞれを伴う,8,1,5.6,8,2021/1/11 00:44,8,南南西,8,1,10.02,8,1,8.9,8,2021/1/11 00:37,8,南西,8,1,南,8,1,1021.5,8,1,1023.7,8,1,1020.5,0,8,2021/1/12 0:00,0,8,1,,0,1
2021/1/12,火,0,1,8,1,みぞれ時々曇一時雪後時々雨,8,1,8.5,0,8,1,1.7,8,1,4.4,8,2021/1/12 13:24,8,1,0.0,8,2021/1/12 03:26,8,1,0.0,0,8,1,86,0,8,,,,1,1.8,8,1,6.6,8,1,96,8,1,85,8,2021/1/12 13:31,8,1,みぞれ時々曇,8,1,3.4,8,2021/1/12 14:34,8,西南西,8,1,4.48,8,1,4.7,8,2021/1/12 14:27,8,西南西,8,1,南南西,8,1,1014.2,8,1,1016.4,8,1,1014.2,0,8,2021/1/12 15:31,0,8,1,,0,1
2021/1/13,水,0,1,8,1,曇時々みぞれ後雨,8,1,5.5,0,8,1,2.0,8,1,4.0,8,2021/1/13 11:58,8,1,0.1,8,2021/1/13 22:13,8,1,0.9,0,8,1,69,0,8,,,,1,2.3,8,1,6.7,8,1,95,8,1,85,8,2021/1/13 11:59,8,1,晴後曇一時みぞれ,8,1,4.3,8,2021/1/13 21:50,8,南南西,8,1,5.28,8,1,6.0,8,2021/1/13 04:00,8,南南東,8,1,南南西,8,1,1015.9,8,1,1018.1,8,1,1015.6,0,8,2021/1/13 00:08,0,8,1,,0,1
2021/1/14,木,0,1,8,1,曇一時みぞれ,8,1,0.0,0,8,1,3.2,8,1,8.7,8,2021/1/14 13:52,8,1,0.2,8,2021/1/15 0:00,8,1,2.6,0,8,1,57,0,8,,,,1,2.1,8,1,7.0,8,1,91,8,1,72,8,2021/1/14 13:57,8,1,霧時々晴一時曇,8,1,5.4,8,2021/1/14 05:17,8,南,8,1,7.47,8,1,6.8,8,2021/1/14 05:11,8,南,8,1,南,8,1,1019.7,8,1,1021.9,8,1,1018.6,0,8,2021/1/14 00:19,0,8,1,,0,1
2021/1/15,金,0,1,8,1,曇時々霧後晴,8,1,0,1,8,1,3.0,8,1,10.5,8,2021/1/15 13:45,8,1,-1.7,8,2021/1/15 07:56,8,1,7.9,0,8,1,52,0,8,,,,1,2.3,8,1,6.3,8,1,85,8,1,49,8,2021/1/15 13:46,8,1,曇一時晴後時々雨、みぞれを伴う,8,1,4.8,8,2021/1/15 17:48,8,南,8,1,11.85,8,1,6.6,8,2021/1/15 17:41,8,南南東,8,1,南,8,1,1018.8,8,1,1020.9,8,1,1016.5,0,8,2021/1/15 23:58,0,8,1,,0,1
2021/1/16,土,0,1,8,1,雨時々曇、みぞれを伴う,8,1,17.0,0,8,1,3.7,8,1,5.7,8,2021/1/16 12:01,8,1,2.2,8,2021/1/16 23:53,8,1,0.0,0,8,1,48,0,8,,,,1,3.0,8,1,7.2,8,1,90,8,1,75,8,2021/1/16 01:56,8,1,曇時々みぞれ一時雪,8,1,5.4,8,2021/1/16 13:06,8,北北西,8,1,1.75,8,1,9.4,8,2021/1/16 12:41,8,北北西,8,1,北北西,8,1,1014.0,8,1,1016.2,8,1,1013.8,0,8,2021/1/16 06:16,0,8,1,,0,1
